source_file,source_format,election_id,election_year,election_type,round_number,department_code,department_name,canton_code,canton_name,circonscription_code,circonscription_name,commune_code,commune_name,polling_station_code,polling_station_ref,inscrits,abstentions,votants,blancs,nuls,exprimes,abstentions_pct_inscrits,votants_pct_inscrits,blancs_pct_inscrits,blancs_pct_votants,nuls_pct_inscrits,nuls_pct_votants,exprimes_pct_inscrits,exprimes_pct_votants
data/elections/presidentielles/presidentielles_2022_1er_tour.csv,ministere_bv_csv,2022_pres_t1,2022,presidentielles,1,66,Pyrénées-Orientales,,,01,1ère circonscription,66028,Cabestany,0006,66028_0006,916,195,721,14,12,695,21.29,78.71,1.53,1.94,1.31,1.66,75.87,96.39
data/elections/presidentielles/presidentielles_2022_1er_tour.csv,ministere_bv_csv,2022_pres_t1,2022,presidentielles,1,66,Pyrénées-Orientales,,,01,1ère circonscription,66028,Cabestany,0007,66028_0007,944,185,759,20,1,738,19.6,80.4,2.12,2.64,0.11,0.13,78.18,97.23
data/elections/presidentielles/presidentielles_2022_1er_tour.csv,ministere_bv_csv,2022_pres_t1,2022,presidentielles,1,66,Pyrénées-Orientales,,,01,1ère circonscription,66028,Cabestany,0008,66028_0008,944,216,728,13,6,709,22.88,77.12,1.38,1.79,0.64,0.82,75.11,97.39
data/elections/presidentielles/presidentielles_2022_1er_tour.csv,ministere_bv_csv,2022_pres_t1,2022,presidentielles,1,66,Pyrénées-Orientales,,,01,1ère circonscription,66028,Cabestany,0009,66028_0009,1016,229,787,14,9,764,22.54,77.46,1.38,1.78,0.89,1.14,75.2,97.08
data/elections/presidentielles/presidentielles_2022_2eme_tour.csv,ministere_bv_csv,2022_pres_t2,2022,presidentielles,2,66,Pyrénées-Orientales,,,01,1ère circonscription,66028,Cabestany,0001,66028_0001,894,235,659,45,24,590,26.29,73.71,5.03,6.83,2.68,3.64,66,89.53
data/elections/presidentielles/presidentielles_2022_2eme_tour.csv,ministere_bv_csv,2022_pres_t2,2022,presidentielles,2,66,Pyrénées-Orientales,,,01,1ère circonscription,66028,Cabestany,0002,66028_0002,919,224,695,16,28,651,24.37,75.63,1.74,2.3,3.05,4.03,70.84,93.67
data/elections/presidentielles/presidentielles_2022_2eme_tour.csv,ministere_bv_csv,2022_pres_t2,2022,presidentielles,2,66,Pyrénées-Orientales,,,01,1ère circonscription,66028,Cabestany,0003,66028_0003,889,226,663,48,21,594,25.42,74.58,5.4,7.24,2.36,3.17,66.82,89.59
data/elections/presidentielles/presidentielles_2022_2eme_tour.csv,ministere_bv_csv,2022_pres_t2,2022,presidentielles,2,66,Pyrénées-Orientales,,,01,1ère circonscription,66028,Cabestany,0004,66028_0004,826,223,603,40,30,533,27,73,4.84,6.63,3.63,4.98,64.53,88.39
data/elections/presidentielles/presidentielles_2022_2eme_tour.csv,ministere_bv_csv,2022_pres_t2,2022,presidentielles,2,66,Pyrénées-Orientales,,,01,1ère circonscription,66028,Cabestany,0005,66028_0005,824,207,617,40,22,555,25.12,74.88,4.85,6.48,2.67,3.57,67.35,89.95
data/elections/presidentielles/presidentielles_2022_2eme_tour.csv,ministere_bv_csv,2022_pres_t2,2022,presidentielles,2,66,Pyrénées-Orientales,,,01,1ère circonscription,66028,Cabestany,0006,66028_0006,916,230,686,50,19,617,25.11,74.89,5.46,7.29,2.07,2.77,67.36,89.94
