__id,id_election,id_brut_miom,code_departement,libelle_departement,code_canton,libelle_canton,code_commune,libelle_commune,code_circonscription,libelle_circonscription,code_bv,inscrits,abstentions,votants,blancs,nuls,exprimes,ratio_abstentions_inscrits,ratio_votants_inscrits,ratio_blancs_inscrits,ratio_blancs_votants,ratio_nuls_inscrits,ratio_nuls_votants,ratio_exprimes_inscrits,ratio_exprimes_votants
45446,2026_muni_t1,66028_0001,66,Pyrénées-Orientales,,,66028,Cabestany,,,0001,970,430,540,9,7,524,44.33,55.67,0.93,1.67,0.72,1.3,54.02,97.04
45447,2026_muni_t1,66028_0002,66,Pyrénées-Orientales,,,66028,Cabestany,,,0002,972,374,598,3,4,591,38.48,61.52,0.31,0.5,0.41,0.67,60.8,98.83
45448,2026_muni_t1,66028_0003,66,Pyrénées-Orientales,,,66028,Cabestany,,,0003,907,388,519,3,3,513,42.78,57.22,0.33,0.58,0.33,0.58,56.56,98.84
45449,2026_muni_t1,66028_0004,66,Pyrénées-Orientales,,,66028,Cabestany,,,0004,815,297,518,5,3,510,36.44,63.56,0.61,0.97,0.37,0.58,62.58,98.46
45450,2026_muni_t1,66028_0005,66,Pyrénées-Orientales,,,66028,Cabestany,,,0005,941,376,565,9,10,546,39.96,60.04,0.96,1.59,1.06,1.77,58.02,96.64
45451,2026_muni_t1,66028_0006,66,Pyrénées-Orientales,,,66028,Cabestany,,,0006,950,403,547,10,6,531,42.42,57.58,1.05,1.83,0.63,1.1,55.89,97.07
45452,2026_muni_t1,66028_0007,66,Pyrénées-Orientales,,,66028,Cabestany,,,0007,996,371,625,5,6,614,37.25,62.75,0.5,0.8,0.6,0.96,61.65,98.24
45453,2026_muni_t1,66028_0008,66,Pyrénées-Orientales,,,66028,Cabestany,,,0008,1007,395,612,7,4,601,39.23,60.77,0.7,1.14,0.4,0.65,59.68,98.2
45454,2026_muni_t1,66028_0009,66,Pyrénées-Orientales,,,66028,Cabestany,,,0009,1106,431,675,3,5,667,38.97,61.03,0.27,0.44,0.45,0.74,60.31,98.81
