tour,type_election,annee,date_scrutin,commune,code_commune,statut_resultat,inscrits,abstentions,abstentions_pct_inscrits,votants,votants_pct_inscrits,blancs,blancs_pct_inscrits,blancs_pct_votants,nuls,nuls_pct_inscrits,nuls_pct_votants,exprimes,exprimes_pct_inscrits,exprimes_pct_votants,liste,conduite_par,nuance,voix,voix_pct_inscrits,voix_pct_exprimes,sieges_conseil_municipal,sieges_conseil_communautaire,source_url
2,municipales,2026,2026-03-22,Cabestany,66028,provisoire,8670,3324,38.34,5346,61.66,99,1.14,1.85,72,0.83,1.35,5175,59.69,96.80,LA PASSION DE CABESTANY,Mme Édith PUGNET,LUG,2920,33.68,56.43,26,2,https://www.resultats-elections.interieur.gouv.fr/municipales2026/ensemble_geographique/76/66/66028/
2,municipales,2026,2026-03-22,Cabestany,66028,provisoire,8670,3324,38.34,5346,61.66,99,1.14,1.85,72,0.83,1.35,5175,59.69,96.80,CABESTANY NOUVELLE VAGUE,M. Olivier MAS,LRN,2205,25.43,42.61,7,1,https://www.resultats-elections.interieur.gouv.fr/municipales2026/ensemble_geographique/76/66/66028/
2,municipales,2026,2026-03-22,Cabestany,66028,provisoire,8670,3324,38.34,5346,61.66,99,1.14,1.85,72,0.83,1.35,5175,59.69,96.80,UN CAP POUR CABESTANY,M. Jean-Pierre BRAZES,LDVD,50,0.58,0.97,0,0,https://www.resultats-elections.interieur.gouv.fr/municipales2026/ensemble_geographique/76/66/66028/
1,municipales,2026,2026-03-15,Cabestany,66028,provisoire,8664,3465,39.99,5199,60.01,54,0.62,1.04,48,0.55,0.92,5097,58.83,98.04,LA PASSION DE CABESTANY,Mme Édith PUGNET,LUG,2432,28.07,47.71,0,0,https://www.resultats-elections.interieur.gouv.fr/municipales2026/ensemble_geographique/76/66/66028/
1,municipales,2026,2026-03-15,Cabestany,66028,provisoire,8664,3465,39.99,5199,60.01,54,0.62,1.04,48,0.55,0.92,5097,58.83,98.04,CABESTANY NOUVELLE VAGUE,M. Olivier MAS,LRN,1210,13.97,23.74,0,0,https://www.resultats-elections.interieur.gouv.fr/municipales2026/ensemble_geographique/76/66/66028/
1,municipales,2026,2026-03-15,Cabestany,66028,provisoire,8664,3465,39.99,5199,60.01,54,0.62,1.04,48,0.55,0.92,5097,58.83,98.04,UN CAP POUR CABESTANY,M. Jean-Pierre BRAZES,LDVD,1020,11.77,20.01,0,0,https://www.resultats-elections.interieur.gouv.fr/municipales2026/ensemble_geographique/76/66/66028/
1,municipales,2026,2026-03-15,Cabestany,66028,provisoire,8664,3465,39.99,5199,60.01,54,0.62,1.04,48,0.55,0.92,5097,58.83,98.04,CABESTANY AVANT TOUT,M. Eric POUPET,LDVC,435,5.02,8.53,0,0,https://www.resultats-elections.interieur.gouv.fr/municipales2026/ensemble_geographique/76/66/66028/
