polling_station_code,inscrits,votants,blancs,nuls,exprimes,status,coverage_note
0003,907,519,3,3,513,validated_partial,Resultats candidats disponibles et controles.
0004,815,518,5,3,510,validated_partial,Resultats candidats disponibles et controles.
0006,950,547,10,6,531,validated_partial,Resultats candidats disponibles et controles.
0008,1007,612,7,4,601,validated_partial,Resultats candidats disponibles et controles.
0009,1106,675,3,5,667,validated_partial,Resultats candidats disponibles et controles.
