Groupe socioprofessionnel,2011,%,2016,%,2022,%
Ensemble,7 595,"100,0",8 052,"100,0",8 681,"100,0"
Agriculteurs exploitants,29,"0,4",5,"0,1",0,"0,0"
"Artisans, commerçants, chefs d'entreprise",308,"4,1",296,"3,7",410,"4,7"
Cadres et professions intellectuelles supérieures,548,"7,2",471,"5,8",729,"8,4"
Professions intermédiaires,1 070,"14,1",1 268,"15,7",1 180,"13,6"
Employés,1 046,"13,8",1 243,"15,4",1 190,"13,7"
Ouvriers,562,"7,4",601,"7,5",712,"8,2"
Retraités,2 833,"37,3",2 905,"36,1",3 148,"36,3"
Autres personnes sans activité professionnelle,1 198,"15,8",1 264,"15,7",1 313,"15,1"
