Secteur d'activité | Nombre,2011 | %,2016 | Nombre,2022 | %,Nombre,%,dont femmes en %,dont salariés en %
Ensemble,3 680,"100,0",3 827,"100,0",4 156,"100,0","63,3","81,9"
Agriculture,41,"1,1",10,"0,3",32,"0,8","19,2","53,4"
Industrie,221,"6,0",260,"6,8",225,"5,4","53,8","83,4"
Construction,272,"7,4",219,"5,7",202,"4,9","18,0","72,5"
"Commerce, transports, services divers",1 623,"44,1",1 567,"40,9",1 774,"42,7","56,6","80,6"
"Administration publique, enseignement, santé, action sociale",1 523,"41,4",1 772,"46,3",1 924,"46,3","76,0","84,5"
