__id,id_election,id_brut_miom,code_departement,libelle_departement,code_canton,libelle_canton,code_commune,libelle_commune,code_circonscription,libelle_circonscription,code_bv,inscrits,abstentions,votants,blancs,nuls,exprimes,ratio_abstentions_inscrits,ratio_votants_inscrits,ratio_blancs_inscrits,ratio_blancs_votants,ratio_nuls_inscrits,ratio_nuls_votants,ratio_exprimes_inscrits,ratio_exprimes_votants
681404,2021_dpmt_t1,66028_0001,66,Pyrénées-Orientales,08,Perpignan-3,66028,Cabestany,,,0001,892,616,276,9,6,261,69.06,30.94,1.01,3.26,0.67,2.17,29.26,94.57
681405,2021_dpmt_t1,66028_0002,66,Pyrénées-Orientales,08,Perpignan-3,66028,Cabestany,,,0002,907,613,294,10,5,279,67.59,32.41,1.1,3.4,0.55,1.7,30.76,94.9
681406,2021_dpmt_t1,66028_0003,66,Pyrénées-Orientales,08,Perpignan-3,66028,Cabestany,,,0003,880,629,251,4,2,245,71.48,28.52,0.45,1.59,0.23,0.8,27.84,97.61
681407,2021_dpmt_t1,66028_0004,66,Pyrénées-Orientales,08,Perpignan-3,66028,Cabestany,,,0004,806,550,256,12,4,240,68.24,31.76,1.49,4.69,0.5,1.56,29.78,93.75
681408,2021_dpmt_t1,66028_0005,66,Pyrénées-Orientales,08,Perpignan-3,66028,Cabestany,,,0005,823,554,269,9,3,257,67.31,32.69,1.09,3.35,0.36,1.12,31.23,95.54
681409,2021_dpmt_t1,66028_0006,66,Pyrénées-Orientales,08,Perpignan-3,66028,Cabestany,,,0006,907,586,321,8,3,310,64.61,35.39,0.88,2.49,0.33,0.93,34.18,96.57
681410,2021_dpmt_t1,66028_0007,66,Pyrénées-Orientales,08,Perpignan-3,66028,Cabestany,,,0007,932,596,336,5,1,330,63.95,36.05,0.54,1.49,0.11,0.3,35.41,98.21
681411,2021_dpmt_t1,66028_0008,66,Pyrénées-Orientales,08,Perpignan-3,66028,Cabestany,,,0008,942,627,315,7,7,301,66.56,33.44,0.74,2.22,0.74,2.22,31.95,95.56
681412,2021_dpmt_t1,66028_0009,66,Pyrénées-Orientales,08,Perpignan-3,66028,Cabestany,,,0009,983,629,354,11,2,341,63.99,36.01,1.12,3.11,0.2,0.56,34.69,96.33
