label,url,kind,category,confidence,year,tags,path
Je construis,https://ville-cabestany.fr/je-construis/,page,page_information,low,,,/je-construis/
Je fais des travaux,https://ville-cabestany.fr/je-fais-des-travaux/,page,page_information,low,,,/je-fais-des-travaux/
Je me mets aux normes d'accessibilité,https://ville-cabestany.fr/je-me-mets-aux-normes-daccessibilite/,page,page_information,low,,,/je-me-mets-aux-normes-daccessibilite/
L'Accueil de loisirs enfance 3-10 ans,https://ville-cabestany.fr/laccueil-de-loisirs-enfance-3-10-ans/,page,page_information,low,,,/laccueil-de-loisirs-enfance-3-10-ans/
L'action sociale,https://ville-cabestany.fr/laction-sociale/,page,page_information,low,,,/laction-sociale/
L'administration,https://ville-cabestany.fr/ladministration/,page,page_information,low,,,/ladministration/
L'Espace enfance,https://ville-cabestany.fr/lespace-enfance/,page,page_information,low,,,/lespace-enfance/
L'Espace Jeunesse,https://ville-cabestany.fr/lespace-jeunesse/,page,page_information,low,,,/lespace-jeunesse/
L'Espace Nelson Mandela,https://ville-cabestany.fr/espace-nelson-mandela/,page,page_information,low,,,/espace-nelson-mandela/
L'école,https://ville-cabestany.fr/lecole/,page,page_information,low,,,/lecole/
La Mairie,https://ville-cabestany.fr/la-mairie/,page,page_information,low,,,/la-mairie/
La petite enfance,https://ville-cabestany.fr/la-petite-enfance/,page,page_information,low,,,/la-petite-enfance/
La saison théâtre,https://ville-cabestany.fr/la-saison-theatre/,page,page_information,low,,,/la-saison-theatre/
La viticulture,https://ville-cabestany.fr/la-viticulture/,page,page_information,low,,,/la-viticulture/
Le Cinéma municipal,https://ville-cabestany.fr/le-cinema-municipal/,page,page_information,low,,,/le-cinema-municipal/
Le collège,https://ville-cabestany.fr/le-college/,page,page_information,low,,,/le-college/
Le débat d'orientation,https://ville-cabestany.fr/le-debat-dorientation/,page,page_information,low,,,/le-debat-dorientation/
Le Mas Guérido,https://ville-cabestany.fr/le-mas-guerido/,page,page_information,low,,,/le-mas-guerido/
Le Maître de l'Art roman,https://ville-cabestany.fr/le-maitre-de-lart-roman/,page,page_information,low,,,/le-maitre-de-lart-roman/
Le Projet Educatif,https://ville-cabestany.fr/le-projet-educatif/,page,page_information,low,,,/le-projet-educatif/
Le SCOT,https://ville-cabestany.fr/le-scot/,page,page_information,low,,,/le-scot/
Les activités,https://ville-cabestany.fr/les-activites/,page,page_information,low,,,/les-activites/
Les animations,https://ville-cabestany.fr/les-animations/,page,page_information,low,,,/les-animations/
