__id,id_election,id_brut_miom,code_departement,libelle_departement,code_canton,libelle_canton,code_commune,libelle_commune,code_circonscription,libelle_circonscription,code_bv,inscrits,abstentions,votants,blancs,nuls,exprimes,ratio_abstentions_inscrits,ratio_votants_inscrits,ratio_blancs_inscrits,ratio_blancs_votants,ratio_nuls_inscrits,ratio_nuls_votants,ratio_exprimes_inscrits,ratio_exprimes_votants
3033285,2012_pres_t2,66028_0001,66,Pyrénées-Orientales,20,,66028,Cabestany,01,,0001,1176,156,1020,,56,964,13.27,86.73,,,4.76,5.49,81.97,94.51
3033286,2012_pres_t2,66028_0002,66,Pyrénées-Orientales,20,,66028,Cabestany,01,,0002,991,140,851,,34,817,14.13,85.87,,,3.43,4,82.44,96
3033287,2012_pres_t2,66028_0003,66,Pyrénées-Orientales,20,,66028,Cabestany,01,,0003,862,159,703,,42,661,18.45,81.55,,,4.87,5.97,76.68,94.03
3033288,2012_pres_t2,66028_0004,66,Pyrénées-Orientales,20,,66028,Cabestany,01,,0004,1010,153,857,,38,819,15.15,84.85,,,3.76,4.43,81.09,95.57
3033289,2012_pres_t2,66028_0005,66,Pyrénées-Orientales,20,,66028,Cabestany,01,,0005,1163,190,973,,62,911,16.34,83.66,,,5.33,6.37,78.33,93.63
3033290,2012_pres_t2,66028_0006,66,Pyrénées-Orientales,20,,66028,Cabestany,01,,0006,1040,173,867,,60,807,16.63,83.37,,,5.77,6.92,77.6,93.08
3033291,2012_pres_t2,66028_0007,66,Pyrénées-Orientales,20,,66028,Cabestany,01,,0007,1195,199,996,,59,937,16.65,83.35,,,4.94,5.92,78.41,94.08
