__id,id_election,id_brut_miom,code_departement,libelle_departement,code_canton,libelle_canton,code_commune,libelle_commune,code_circonscription,libelle_circonscription,code_bv,inscrits,abstentions,votants,blancs,nuls,exprimes,ratio_abstentions_inscrits,ratio_votants_inscrits,ratio_blancs_inscrits,ratio_blancs_votants,ratio_nuls_inscrits,ratio_nuls_votants,ratio_exprimes_inscrits,ratio_exprimes_votants
1399713,2021_regi_t1,66028_0001,66,Pyrénées-Orientales,,,66028,Cabestany,,,0001,892,616,276,8,4,264,69.06,30.94,0.9,2.9,0.45,1.45,29.6,95.65
1399714,2021_regi_t1,66028_0002,66,Pyrénées-Orientales,,,66028,Cabestany,,,0002,907,612,295,6,8,281,67.48,32.52,0.66,2.03,0.88,2.71,30.98,95.25
1399715,2021_regi_t1,66028_0003,66,Pyrénées-Orientales,,,66028,Cabestany,,,0003,880,629,251,6,4,241,71.48,28.52,0.68,2.39,0.45,1.59,27.39,96.02
1399716,2021_regi_t1,66028_0004,66,Pyrénées-Orientales,,,66028,Cabestany,,,0004,806,550,256,8,3,245,68.24,31.76,0.99,3.12,0.37,1.17,30.4,95.7
1399717,2021_regi_t1,66028_0005,66,Pyrénées-Orientales,,,66028,Cabestany,,,0005,823,554,269,7,4,258,67.31,32.69,0.85,2.6,0.49,1.49,31.35,95.91
1399718,2021_regi_t1,66028_0006,66,Pyrénées-Orientales,,,66028,Cabestany,,,0006,907,588,319,7,5,307,64.83,35.17,0.77,2.19,0.55,1.57,33.85,96.24
1399719,2021_regi_t1,66028_0007,66,Pyrénées-Orientales,,,66028,Cabestany,,,0007,932,597,335,6,3,326,64.06,35.94,0.64,1.79,0.32,0.9,34.98,97.31
1399720,2021_regi_t1,66028_0008,66,Pyrénées-Orientales,,,66028,Cabestany,,,0008,942,627,315,6,4,305,66.56,33.44,0.64,1.9,0.42,1.27,32.38,96.83
1399721,2021_regi_t1,66028_0009,66,Pyrénées-Orientales,,,66028,Cabestany,,,0009,983,629,354,11,0,343,63.99,36.01,1.12,3.11,0,0,34.89,96.89
