__id,id_election,id_brut_miom,code_departement,libelle_departement,code_canton,libelle_canton,code_commune,libelle_commune,code_circonscription,libelle_circonscription,code_bv,inscrits,abstentions,votants,blancs,nuls,exprimes,ratio_abstentions_inscrits,ratio_votants_inscrits,ratio_blancs_inscrits,ratio_blancs_votants,ratio_nuls_inscrits,ratio_nuls_votants,ratio_exprimes_inscrits,ratio_exprimes_votants
1331102,2021_regi_t2,66028_0001,66,Pyrénées-Orientales,,,66028,Cabestany,,,0001,892,586,306,6,8,292,65.7,34.3,0.67,1.96,0.9,2.61,32.74,95.42
1331103,2021_regi_t2,66028_0002,66,Pyrénées-Orientales,,,66028,Cabestany,,,0002,907,568,339,0,10,329,62.62,37.38,0,0,1.1,2.95,36.27,97.05
1331104,2021_regi_t2,66028_0003,66,Pyrénées-Orientales,,,66028,Cabestany,,,0003,880,610,270,7,6,257,69.32,30.68,0.8,2.59,0.68,2.22,29.2,95.19
1331105,2021_regi_t2,66028_0004,66,Pyrénées-Orientales,,,66028,Cabestany,,,0004,806,516,290,8,3,279,64.02,35.98,0.99,2.76,0.37,1.03,34.62,96.21
1331106,2021_regi_t2,66028_0005,66,Pyrénées-Orientales,,,66028,Cabestany,,,0005,823,516,307,7,1,299,62.7,37.3,0.85,2.28,0.12,0.33,36.33,97.39
1331107,2021_regi_t2,66028_0006,66,Pyrénées-Orientales,,,66028,Cabestany,,,0006,907,567,340,9,6,325,62.51,37.49,0.99,2.65,0.66,1.76,35.83,95.59
1331108,2021_regi_t2,66028_0007,66,Pyrénées-Orientales,,,66028,Cabestany,,,0007,932,554,378,6,4,368,59.44,40.56,0.64,1.59,0.43,1.06,39.48,97.35
1331109,2021_regi_t2,66028_0008,66,Pyrénées-Orientales,,,66028,Cabestany,,,0008,942,595,347,7,5,335,63.16,36.84,0.74,2.02,0.53,1.44,35.56,96.54
1331110,2021_regi_t2,66028_0009,66,Pyrénées-Orientales,,,66028,Cabestany,,,0009,983,611,372,8,6,358,62.16,37.84,0.81,2.15,0.61,1.61,36.42,96.24
