code_commune,nom_commune,numero_bureau_vote,code_bureau_vote,id_bv,geometry_type
"66028","Cabestany","0001","66028_0001","66028_1","MultiPolygon"
"66028","Cabestany","0002","66028_0002","66028_2","MultiPolygon"
"66028","Cabestany","0003","66028_0003","66028_3","MultiPolygon"
"66028","Cabestany","0004","66028_0004","66028_4","Polygon"
"66028","Cabestany","0005","66028_0005","66028_5","MultiPolygon"
"66028","Cabestany","0006","66028_0006","66028_6","Polygon"
"66028","Cabestany","0007","66028_0007","66028_7","MultiPolygon"
"66028","Cabestany","0008","66028_0008","66028_8","MultiPolygon"
"66028","Cabestany","0009","66028_0009","66028_9","Polygon"
