document_type,title,year,local_file,pages,source_page_slug
magazine_budget,"Dossier ""Budget 2024"" du magazine Cabes'infos mai 2024",2024,data/2404_CABESINFO_N135_dossier_Budget.pdf,2,https://ville-cabestany.fr/2404_cabesinfo_n135_dossier_budget/
rapport_orientation_budgetaire,"Rapport d'orientation budgétaire 2026",2026,data/20260216_Rapport-dorientations-budgetaires-2026.pdf,,https://ville-cabestany.fr/20260216_rapport-dorientations-budgetaires-2026/
budget_primitif,"Budget 2025",2025,data/AF04-BUDGET-2025-32000-PRINCIPAL-SIGNE.pdf,,https://ville-cabestany.fr/af04-budget-2025-32000-principal-signe/
annexes_budget_annexe,"Annexes CFU 2024 + BP 2025 Les Hauts du Moulinas",2025,data/CFU-2024-BP-2025-ht-du-moulinas.pdf,96,https://ville-cabestany.fr/cfu-2024-bp-2025-ht-du-moulinas/
annexes_budget_annexe,"Annexes CFU 2024 + BP 2025 Parcs de la Germanor",2025,data/CFU-2024-BP-2025-germanor.pdf,96,https://ville-cabestany.fr/cfu-2024-bp-2025-germanor/
cfu_principal,"CFU Budget Principal 2024",2024,data/AF01-CFU-2024-BUDGET-PRINCIPAL-CFU_21660028800015_2024_D.pdf,71,https://ville-cabestany.fr/af01-cfu-2024-budget-principal-cfu_21660028800015_2024_d/
