slug,document_type,year,page,section_title,line_text,value_raw,value_numeric
rob-2026,rapport_orientation_budgetaire,2026,,II. Éléments généraux de,"L’inflation resterait en moyenne légèrement au-dessus de la cible de la BCE cette année, à 2,1 %, avant de fléchir plus","2,1",2.1
rob-2026,rapport_orientation_budgetaire,2026,,II. Éléments généraux de,"nettement l’année prochaine à 1,7 %, sous les effets cumulés de l’appréciation de l’euro et de la baisse des prix du pétrole","1,7",1.7
rob-2026,rapport_orientation_budgetaire,2026,,II. Éléments généraux de,"a tout de même coûté 0,2 à 0,3 point de pourcentage de croissance en 2025 et continuerait à freiner la reprise en 2026, en particulier la consommation des ménage et","0,2",0.2
rob-2026,rapport_orientation_budgetaire,2026,,II. Éléments généraux de,"a tout de même coûté 0,2 à 0,3 point de pourcentage de croissance en 2025 et continuerait à freiner la reprise en 2026, en particulier la consommation des ménage et","0,3",0.3
rob-2026,rapport_orientation_budgetaire,2026,,II. Éléments généraux de,"Sur un an, entre le 3ème trimestre 2024 et celui de 2025, l’emploi salarié privé a baissé de 0,5 %","0,5",0.5
rob-2026,rapport_orientation_budgetaire,2026,,II. Éléments généraux de,par rapport à l’année précédente (-112 100 emplois). Les emplois privés restent néanmoins 1,112 100,112100
rob-2026,rapport_orientation_budgetaire,2026,,II. Éléments généraux de,"Le taux de chômage est resté stable au 2ème trimestre 2025 à 7,5 %. Il augmenterait légèrement","7,5",7.5
rob-2026,rapport_orientation_budgetaire,2026,,II. Éléments généraux de,"en 2026, à 7,6 %, la croissance du PIB étant attendue sous son potentiel l’an prochain dans un","7,6",7.6
rob-2026,rapport_orientation_budgetaire,2026,,B. La loi de finances 2026,"➔ Dans la version du 15/12/2025, la révision du coefficient de minoration est à 19,3 % avec un plafonnement de l’impact à 2 % des recettes réelles de Fonctionnement","19,3",19.3
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"15 720 295,93 €","15 720 295,93",15720295.93
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"5 549 114,99 €","5 549 114,99",5549114.99
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"935 529,67 €","935 529,67",935529.67
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"15 950 658,15 €","15 950 658,15",15950658.15
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"-230 362,22 €","230 362,22",230362.22
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"1 501 991,04 €","1 501 991,04",1501991.04
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"1 271 628,82 €","1 271 628,82",1271628.82
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"5 006 327,07 €","5 006 327,07",5006327.07
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"542 787,92 €","542 787,92",542787.92
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"-833 154,71 €","833 154,71",833154.71
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"-290 366,79 €","290 366,79",290366.79
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"683 937,07 €","683 937,07",683937.07
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"251 592,60 €","251 592,60",251592.60
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"-38 774,19 €","38 774,19",38774.19
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"38 774,19 €","38 774,19",38774.19
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"1 232 854,63 €","1 232 854,63",1232854.63
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"sections) : 97,60 %","97,60",97.60
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"96,64 % en 2024 ;","96,64",96.64
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"94,83 % en 2023 ;","94,83",94.83
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"98,67 % en 2022 ;","98,67",98.67
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"91,20 % en 2021 ;","91,20",91.20
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"88,25 % en 2020 ;","88,25",88.25
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"104,50 %","104,50",104.50
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"104,48 % en 2024 ;","104,48",104.48
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"107,79 % en 2023 ;","107,79",107.79
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"113,34 % en 2022 ;","113,34",113.34
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"103,95 % en 2021 ;","103,95",103.95
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"100,67 % en 2020 ;","100,67",100.67
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"3 299 164,00 €","3 299 164,00",3299164.00
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"9 253 000,00 €","9 253 000,00",9253000.00
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"0,00 €","0,00",0.00
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"774 587,00 €","774 587,00",774587.00
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"1 950 000,00 €","1 950 000,00",1950000.00
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"830 980,00 €","830 980,00",830980.00
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"298 000,00 €","298 000,00",298000.00
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"10 000,00 €","10 000,00",10000.00
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"0,00 €","0,00",0.00
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"130 000,00 €","130 000,00",130000.00
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"16 545 731,00 €","16 545 731,00",16545731.00
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"3 263 971,40 €","3 263 971,40",3263971.40
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"9 140 297,27 €","9 140 297,27",9140297.27
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"0,00 €","0,00",0.00
